detalhe_incidente;tipo_incidente;detalhe_limpo
resetar senha sumir vario função sap sap;Erro;resetar senha sumir vario função
samippp inoperante sistema samippp;Corretiva;inoperante
instalação programa essencial operação motivo novo computador instalação programa operacional;Nova instalação;instalação programa essencial operação motivo novo computador instalação programa operacional
olá srs bom dia solicito liberação transação abaixo desde agradeço;Melhorias;liberação transação abaixo desde agradeço
chamar referente email sobre ajustir intervalo linha arcon Wolleson santo enviar outubro cassio pereirar cc diego marialvar Gabrielly azevedo assunto ajustir intervalo linha arcon bom tarde cássio conforme conversar enviar horário intervalo linha planta arcon ajustir sistema intervalo dia almoço intervalo tarde condensadora condensador evaporadora evaporadora kit acessório compressor qualquer dúvida favor informar ajustir intervalo linha arcon;Melhorias;chamar referente email sobre ajustir intervalo arcon wolleson santo enviar outubro assunto ajustir intervalo arcon conforme conversar enviar horário intervalo planta arcon ajustir intervalo almoço intervalo condensadora condensador evaporadora evaporadora kit acessório compressor qualquer dúvida informar ajustir intervalo arcon
bom tarde leandro número serie duplicar dentro de esse lote material favor realizar ajustir gabrielly processar att cassio pereirar duplicação serial lote;Erro;leandro número serie duplicar dentro lote material realizar ajustir gabrielly processar att cassio pereirar duplicação serial lote
forçar apontamento produto ac splitr komeco anexo numero evaporadora parar desde sistema sisap;Corretiva;forçar apontamento produto komeco anexo numero evaporadora parar desde
sistema falha horário impactar produção causar parada linha unidade evaporadora condensadora sistema falha intermitente;Erro;falha horário impactar produção causar parada unidade evaporadora condensadora falha intermitente
criar acesso sisap funcionário abaixo drt augusto plabyo rodrigues oliveira cpf sisap tela técnico reparo acesso sisap técnico reparo;Nova instalação;criar funcionário abaixo tela técnico reparo técnico reparo
criar usuário rede funcionário abaixo nome david Fernandes Correa cargo separador material criação usuário rede;Nova instalação;criar rede funcionário abaixo nome cargo separador material criação rede
criar usuário rede funcionário abaixo nome elia caldeirar neto cargo separador material criação usuário rede;Nova instalação;criar rede funcionário abaixo nome elia caldeirar neto cargo separador material criação rede
criar usuário rede funcionário abaixo nome wanderson Silva Maciel cargo separador material criação usuário rede;Nova instalação;criar rede funcionário abaixo nome cargo separador material criação rede
criar usuário rede funcionário abaixo nome jucelino anjo muniz cargo técnico Conserto criação usuário rede;Nova instalação;criar rede funcionário abaixo nome anjo muniz cargo técnico criação rede
descrição problema criar usuário rede acesso sisap funcionário abaixo drt nome Manoel Pedro Silva neto cargo reserva linha criação usuário rede;Nova instalação;descrição criar rede funcionário abaixo drt nome neto cargo reserva criação rede
criar usuário rede acesso sisap tela técnico drt nome luanderson santo pacheco cargo técnico Conserto criação usuário rede acesso sisap;Nova instalação;criar rede tela técnico nome cargo técnico criação rede
ajustar horário intervalo linha início término intervalo manhã evap cond evap cond almoço evap cond evap cond intervalo tarde evap cond evap cond ajustir horário linha arcon;Melhorias;ajustar horário intervalo início término intervalo manhã evap cond evap cond almoço evap cond evap cond intervalo evap cond evap cond ajustir horário arcon
criar usuário rede acesso sisap funcionário abaixo drt nome augusto plabyo rodrigues oliveira função técnico Conserto criação usuário rede acesso sisap;Nova instalação;criar rede funcionário abaixo drt nome função técnico criação rede
não conseguir forçar apontamento pa produção dia faltar conjunto meta dia tinahm conjunto poder apontar resumo arcon apontamento resumo arcon;Corretiva;conseguir forçar apontamento produção faltar conjunto meta tinahm conjunto poder apontar resumo arcon apontamento resumo arcon
sisap não possível clicar botão envio parada linha necessário atualizar lista envio planto arcon não envio parada linha sisap;Corretiva;possível clicar botão envio parada necessário atualizar lista envio planto arcon envio parada
criar usuário rede felipe Silva Alves nascimento drt função reserva linha criação usuário rede;Nova instalação;criar rede nascimento drt função reserva criação rede
criar usuário rede acesso sisap natanael maciel nascimento drt função separador material cpf criação usuário rede;Nova instalação;criar rede natanael maciel nascimento drt função separador material cpf criação rede
criar usário sisap funcionário abaixo alia luists drt luis felipe tavar Silva função líder produção copiar acesso gabriellysa criação usuário rede;Nova instalação;criar usário funcionário abaixo alia função líder produção copiar gabriellysa criação rede
rasp ficar desligado minuto ligar novamente posto amarrar painel falha rede rasp;Corretiva;ficar desligado minuto ligar novamente amarrar painel falha rede
rasp ficar desligar minuto ligar novamente posto teeste hipot falha rede rasp;Corretiva;ficar desligar minuto ligar novamente falha rede
realização número series anexo ler errar número série linha piloto;Erro;realização número series anexo ler errar número série piloto
liberação autorização etiqueta ordem produção placa usuário ne atalia pp acesso autorização etiqueta ordem produção usuário em atália PP;Erro;liberação autorização etiqueta ordem produção placa atalia autorização etiqueta ordem produção atália
amarração ordem produção status contingência aplicação contingência programação programação aplicação contingência;Melhorias;amarração ordem produção status contingência aplicação contingência programação programação aplicação contingência
gerar ap leitura placa Skd ne princ mont geração ap modelo;Erro;gerar leitura placa skd princ mont geração modelo
favor preciso habilitar sisap função amarração fase usuário priscilabsr habilitação sisap função amarração fase;Erro;preciso habilitar função amarração fase priscilabsr habilitação função amarração fase
analise plano produção linho rede cadastro linha rede;Avaliação_Técnica;analise plano produção linho rede cadastro rede
necessário disponibilizar cadastro tabela processo subcontratação sistema sap conforme detalhe anexo cadastro unidade processo subcontratação sap;Corretiva;necessário disponibilizar cadastro tabela processo subcontratação conforme detalhe anexo cadastro unidade processo subcontratação
solicitar instalação autorização uso sistema máquina colaborador abaixo wellington Sidney Silva Costa analista sgi jr tallyta faria matio controle qualidade sgi instalação fazer necessário ter vista necessidade autorização frota veículo prestador serviço coplast coleta transporte resíduo gerar semp tcl arcon instalação;Nova instalação;solicitar instalação autorização uso máquina colaborador abaixo analista faria matio controle qualidade sgi instalação fazer necessário ter vista necessidade autorização frota veículo prestador serviço coplast coleta transporte resíduo gerar semp tcl arcon instalação
solicitar instalação sistema máquina colaborador abaixo planto arcondicionar wellington Sidney Silva Costa analista sgi jr tallyta faria matio controle qualidade sgi instalação sistema portar net;Nova instalação;solicitar instalação máquina colaborador abaixo planto arcondicionar wellington analista faria matio controle qualidade sgi instalação portar net
não com si visualizar pedido sap liberação transação sap;Corretiva;visualizar pedido liberação transação
faltar algum defeito sisap conforme realidade processo arcon solicitar inclusão item conforme lista anexo desde agradeço atualização lista defeito sistema sisap;Melhorias;faltar algum defeito conforme realidade processo arcon solicitar inclusão item conforme lista anexo desde agradeço atualização lista defeito
não conseguir rastrear tec reparo produto retrabalhar hoje existir acesso geral solicitar cada téc acesso individual ver anexo nome desde agradeço cadastro técnico reparo sistema sisap;Melhorias;conseguir rastrear tec reparo produto retrabalhar hoje existir geral solicitar cada téc individual ver anexo nome desde agradeço cadastro técnico reparo
problema leitura etiqueta Caixa Eletrica posto embalagem linha Caixa Eletrica amarração Evap problema leitura etq Caixa Eletrica;Corretiva;leitura etiqueta caixa eletrica embalagem caixa eletrica amarração evap leitura etq caixa eletrica
ajustir sequenciamento posto evap atender projeto Caixa Eletrica ajustir sequenciamento posto evap;Melhorias;ajustir sequenciamento evap atender projeto caixa eletrica ajustir sequenciamento evap
adicionar melhoria tela impressão imprimir etq final Evap mostrar lado opção impressão etq Caixa Eletrica acordo ne cx eletrica lista tecnico ap Evap adicionar tambem melhoria conteudo etiqueta Caixa Eletrica final descrição adicionar ap melhoria tela impressão proj cx Eletrica;Melhorias;adicionar melhoria tela impressão imprimir etq final evap mostrar lado opção impressão etq caixa eletrica acordo eletrica lista tecnico evap adicionar tambem melhoria conteudo etiqueta caixa eletrica final descrição adicionar melhoria tela impressão proj eletrica
solicitar permissão cadastro item sisap espelhar permissão usuário fernandot cadastro item;Melhorias;solicitar permissão cadastro item espelhar permissão fernandot cadastro item
solicitar criação linha kit acessório sistema sisap modo permitir rastreabilidade item garantir prosseguimento adequado atividade criação linha kit acessório;Nova instalação;solicitar criação kit acessório modo permitir rastreabilidade item garantir prosseguimento adequado atividade criação kit acessório
solicitar novo senha entrada sistema sap user sap;Avaliação_Técnica;solicitar novo senha entrada user
atualização versão mesmo não disponível utilização pc necessitar urgência devido demanda atividade setor atualização planoedp;Nova instalação;atualização versão disponível utilização necessitar urgência devido demanda atividade setor atualização planoedp
solicitar reabertura lote inspeção posto oba devido lançamento errar reprovação realizar qualidade lote constar liberar dia produto reprovar reabertura inspeção posto oba;Erro;solicitar reabertura lote inspeção oba devido lançamento errar reprovação realizar qualidade lote constar liberar produto reprovar reabertura inspeção oba
criar movimento copia diferenciar movs scrap produção qualidade criar cópia mov;Melhorias;criar movimento copia diferenciar movs scrap produção qualidade criar cópia mov
solicitar atualização relatório oba conforme documento anexar acesso possível inclusão procedimento critério relatório pôr oba atualização relatório oba;Melhorias;solicitar atualização relatório oba conforme documento anexar possível inclusão procedimento critério relatório pôr oba atualização relatório oba
bom dia solicitar exclusão inclusão pallet posto oba reprovar indevidamente time qualidade ajustir liberação ajustir pallet reprovação indevido oba;Corretiva;solicitar exclusão inclusão pallet oba reprovar indevidamente time qualidade ajustir liberação ajustir pallet reprovação indevido oba
solicitar retorno plano controle numerador excluir indevidamente usuário marcost retornar plano controle excluir indevidamente usuário marcost;Corretiva;solicitar retorno plano controle numerador excluir indevidamente marcost retornar plano controle excluir indevidamente marcost
bom tarde solicitar autorização abertura parada linha sistema sisap autorização abertura parada linha;Avaliação_Técnica;solicitar autorização abertura parada autorização abertura parada
tipo manutenção alterar key user processo transação sim justifique caso usuário andreiamf centro custo requisição aprovar usuário usuário ir criar requisição ser aprovar usuário euduardogc ronilsonb francisco gestor ir aprovar nível alçada acima gerente qualidade gerente industrial eason xueyx higino Soares suprimento Miguel marialvar di diretor industrial Paulo sandrini dco neuso sato df controller Pedro Carvalho presidência Carlos li felipe hennel fay caso usuário gildeniceaa centro custo requisição aprovar usuário usuário ir criar requisição ser aprovar usuário amandagm gestor ir aprovar nível alçada acima gerente facilitie provisoriamente Paulo sandrini suprimento Miguel marialvar di diretor industrial Paulo sandrini dco neuso sato df controller Pedro Carvalho presidência Carlos li felipe hennel fay outro informação mudança estruturo autorização sap;Melhorias;tipo manutenção alterar key user processo transação sim justifique caso andreiamf centro custo requisição aprovar criar requisição aprovar gestor aprovar nível alçada acima gerente qualidade gerente industrial eason xueyx higino suprimento diretor industrial controller presidência caso gildeniceaa centro custo requisição aprovar criar requisição aprovar amandagm gestor aprovar nível alçada acima gerente facilitie provisoriamente suprimento diretor industrial controller presidência outro informação mudança estruturo autorização
solicitar reparo sisap quanto lançamento defeito posto técnico não permitir realizar lançamento defeito tão pouco desassociação placa painel sisap não permitir lançamento defeito posto técnico;Corretiva;solicitar reparo quanto lançamento defeito técnico permitir realizar lançamento defeito tão pouco desassociação placa painel permitir lançamento defeito técnico
solicitar limpeza ns anexado desassociação painel rejeitar problema qualidade modelo limpeza banco dado problema qualidade;Corretiva;solicitar limpeza anexado desassociação painel rejeitar qualidade modelo limpeza banco qualidade
lançamento indevido defeito tv led semp vide anexo solicitar exclusão defeito lançamento indevido defeito exclusão;Erro;lançamento indevido defeito led semp vide anexo solicitar exclusão defeito lançamento indevido defeito exclusão
solicitar retirada defeito vide anexo duplicar sistema sisap duplicação defeito;Corretiva;solicitar retirada defeito vide anexo duplicar duplicação defeito
solicitar limpeza banco dado defeito qualidade material documento abrir qualidade devir tratativo vide anexo limpeza banco dado problema qualidade;Corretiva;solicitar limpeza banco defeito qualidade material documento abrir qualidade devir tratativo vide anexo limpeza banco qualidade
solicitar limpeza base dado devido lançamento indevir posto teste processo vide anexo lançamento indevido defeito exclusão;Corretiva;solicitar limpeza base devido lançamento indevir teste processo vide anexo lançamento indevido defeito exclusão
solicitar inclusão dado kit acessório base pedestal aparelho vide anexo pois produzir sem registro de este dado sisap não registrar kit acessório base pedestal;Corretiva;solicitar inclusão kit acessório base pedestal aparelho vide anexo pois produzir registro registrar kit acessório base pedestal
solicitar exclusão ns abaixo lançamento defeito indevido lançamento indevido defeito exclusão;Erro;solicitar exclusão abaixo lançamento defeito indevido lançamento indevido defeito exclusão
solicitar exclusão lançamento defeito abaixo pois lançar indevidamente obrigar lançamento indevido defeito exclusão;Erro;solicitar exclusão lançamento defeito abaixo pois lançar indevidamente obrigar lançamento indevido defeito exclusão
solicitar exclusão abaixo pois tratar lançamento indever exclusão lançamento indevir;Erro;solicitar exclusão abaixo pois tratar lançamento indever exclusão lançamento indevir
solicitar visualização cadastro capacidade menu pm check capacidade produção durante processo produção visualização cadastro capacidade;Erro;solicitar visualização cadastro capacidade menu check capacidade produção durante processo produção visualização cadastro capacidade
registrar solicitação pedir via teams exclusão defeito seguinte numero serie walter santo walter santo apagar registro defeito;Corretiva;registrar pedir via teams exclusão defeito seguinte numero serie apagar registro defeito
solicitar exclusão número série abaixo relatório técnico pois lançar forma errado excusão defeito lançar incorreto;Erro;solicitar exclusão número série abaixo relatório técnico pois lançar forma errado excusão defeito lançar incorreto
solicitar exclusão defeito relatório técnico ns abaixo lançar forma incorreto excusão defeito lançar incorreto;Erro;solicitar exclusão defeito relatório técnico abaixo lançar forma incorreto excusão defeito lançar incorreto
solicitar exclusão ns montar aparelho pedido ordem exclusão em s;Corretiva;solicitar exclusão montar aparelho pedido ordem exclusão
solicitar exclusão relatório técnico lançar indevidamente exclusão em s relatório técnico;Corretiva;solicitar exclusão relatório técnico lançar indevidamente exclusão relatório técnico
solicitar exclusão ns anexar apenas relatório técnico devido lançamento incorreto exclusão em s relatório técnico;Corretiva;solicitar exclusão anexar apenas relatório técnico devido lançamento incorreto exclusão relatório técnico
solicitar exclusão ns abaixo apenas relatório técnico lançar incorretamente exclusão em s relatório técnico;Corretiva;solicitar exclusão abaixo apenas relatório técnico lançar incorretamente exclusão relatório técnico
solicitar exlusão ns somente relatório técnico abaixo lançar devido problema qualidade reportar mesmo não dever contabilizar indicador qualiade excusão defeito lançamento desconsiderar;Corretiva;solicitar exlusão somente relatório técnico abaixo lançar devido qualidade reportar dever contabilizar indicador qualiade excusão defeito lançamento desconsiderar
solicitar exclusão ns abaixo apenas relatório técnico sisap devido lançamento incorreto exclusão em s relatório técnico;Corretiva;solicitar exclusão abaixo apenas relatório técnico devido lançamento incorreto exclusão relatório técnico
solicitar criação usuário apela sistema sisap tecnico eletronico ii assumur novo função drt Renato Guimaraes hosanah cpf criação usuário Guimaraes hosanah;Nova instalação;solicitar criação apela tecnico eletronico assumur novo função drt hosanah cpf criação guimaraes hosanah
solicitar criação usuário sisap técnico produção el max Silva Maia drt cpf criação usuário max Silva Maia;Nova instalação;solicitar criação técnico produção max silva maia drt cpf criação max silva maia
solicitar exclusão defeito relatório técnico ns pois realizar lançamento indevido exclusão em s relatório técnico;Corretiva;solicitar exclusão defeito relatório técnico pois realizar lançamento indevido exclusão relatório técnico
necessidade permissão pois tentanto acessar sistema primeira vez permissão plano edp;Nova instalação;necessidade permissão pois tentanto acessar primeira vez permissão plano edp
nao autoriizar mexer em esse sistema permissão plano edp;Nova instalação;nao autoriizar mexer permissão plano edp
impressão etiqueta pci principal iac tentar imprimir ne linha piloto sistema impressão não exibir descrição de esse ne ne piloto sem descrição;Melhorias;impressão etiqueta pci principal iac tentar imprimir piloto impressão exibir descrição piloto descrição
problema realizar preenchimento aprovação checklists melhoria sipap checklist;Melhorias;realizar preenchimento aprovação checklists melhoria sipap checklist
embalar forma equivocar placa modelo op op ser op diferente modelo diferente momento leitura sisap não bloquear favor verificar possibilidade resetar registro embalagem de esse placa ser embalar op correta erro embalagem;Corretiva;embalar forma equivocar placa modelo diferente modelo diferente momento leitura bloquear possibilidade resetar registro embalagem placa embalar correta erro embalagem
liberação usuário victorsf função exercer preciso utilizar sistema enviar relatório diário saída tcl semp entrada pa hine liberação sistema portaria;Avaliação_Técnica;liberação victorsf função exercer preciso utilizar enviar relatório diário saída tcl semp entrada hine liberação portaria
solicitar liberação permissão alteração acesspr pe cp;Corretiva;solicitar liberação permissão alteração acesspr
发件人 vanessa Gonçalves 发送时间 收件人 李昕凝 抄送 elaine oliveirar 黄景淇 lucas batista Pedro dallecio eduardo maregar 主题 falta orçamento fssc oi nadine bom dia tudo bem conta centro custo abaixo fssc divergente sap conseguir verificar porque valor não subir fssc área precisar entrar pedido fssc não constar orçamento disponível contar centro sap falta orçamento fssc novo centro custo;Avaliação_Técnica;batista falta orçamento fssc nadine tudo bem conta centro custo abaixo fssc divergente conseguir porque valor subir fssc área precisar entrar pedido fssc constar orçamento disponível contar centro falta orçamento fssc novo centro custo
não conseguir abrir arquivo sem Internet sem Internet;Corretiva;conseguir abrir arquivo internet internet
teams não receber mensagem teams inoperante;Corretiva;teams receber mensagem teams inoperante
implementar leitura qr coder dois base pedestal durante embalagem amarrar Código ean caixa embalagem cb kit acess cb tv qr coder dois base pedestal modelo produzir mf configuração estação passagem embalagem sisap mf;Melhorias;implementar leitura coder dois base pedestal durante embalagem amarrar código ean caixa embalagem kit acess coder dois base pedestal modelo produzir configuração estação passagem embalagem
implementação posto inspeção etiqueta identificação sub conjunto tampa amarrar código barra etiqueta controle produto linha nota sistema funcionamento linha mf acréscimo pôr inspeção etiq etiq produto;Melhorias;implementação inspeção etiqueta identificação sub conjunto tampa amarrar código barra etiqueta controle produto nota funcionamento acréscimo pôr inspeção etiq etiq produto
mudança dado qr coder algum modelo dar novo neç rate labelç xxxxxx modeloç xxxxxxxxx leitura etq identificação novo padrão;Melhorias;mudança coder algum modelo dar novo neç rate labelç xxxxxx xxxxxxxxx leitura etq identificação novo padrão
